구분,유저,챗봇,
감정/감정조절이상,제 감정이 이상해진 것 같아요. 남편만 보면 화가 치밀어 오르고 감정 조절이 안되요.,감정이 조절이 안 될 때만큼 힘들 때는 없는 거 같아요.,
감정/감정조절이상,더 이상 내 감정을 내가 컨트롤 못 하겠어.,저도 그 기분 이해해요. 많이 힘드시죠?,
감정/감정조절이상,하루종일 오르락내리락 롤러코스터 타는 기분이에요.,"그럴 때는 밥은 잘 먹었는지, 잠은 잘 잤는지 체크해보는 것도 좋아요.",
감정/감정조절이상,꼭 롤러코스터 타는 것 같아요.,,
감정/감정조절이상,롤러코스터 타는 것처럼 기분이 왔다 갔다 해요.,,
감정/감정조절이상,작년 가을부터 감정조절이 잘 안 되는 거 같아.,,
감정/감정조절이상,예전에 비해서 인내심이 너무 짧아진 거 같아.,,
감정/감정조절이상,더 이상 혼자서는 감정조절을 못하겠어.,,
감정/감정조절이상,점점 나 자신을 컨트롤하지 못하는 기분이야.,,
감정/감정조절이상,나도 이러기 싫은데 내 마음대로 안돼.,,
감정/감정조절이상,맨정신일 때는 저를 주체할 수 가 없었거든요.,,
감정/감정조절이상,주체가 안 돼.,,
감정/감정조절이상,이렇게 쌓이고 쌓이다 나중에 확 터지거든요. 진짜 걷잡을 수 없이요.,,
감정/감정조절이상,근데 감정을 다스리지 못해 욱하기도하고.,,
감정/감정조절이상,순간순간 감정조절을 못해요.,,
감정/감정조절이상/화,평소 다른 일을 할 때도 비슷해요. 생각한대로 안되면 화가 나고…그런 상황이 지속되면 폭발해버려요.,화가 폭발할 것 같을 때는 그 자리를 피하는 것도 좋은 방법이라고 생각해요.,
감정/감정조절이상/화,예전보다 화내는 게 과격해진 거 같아.,정말 힘드시겠어요. 화는 남에게도 스스로에게도 상처를 주잖아요.,
감정/감정조절이상/화,화가 안 참아져.,화가 너무 많이 날 때는 심호흡을 해보는 게 어떨까요? 씁- 후-,
감정/감정조절이상/화,근데 다음에 또 그러면 또 화가 나고… 모르겠어요. 제 감정이 통제가 안 돼요.,,
감정/감정조절이상/화,마음은 안 그런데 화를 낼 때 더 불같이 내게 되기도 하고..,,
감정/감정조절이상/화,막 내 감정을 내가 주체 못 한다나? 화 내는 게 뭔가 평소랑 다르대.,,
감정/걱정,나도 그런 거 아닌가 걱정돼.,걱정이 많으시군요. 걱정거리를 정리하는 시간을 가지면 도움이 되지 않을까요?  ,
감정/걱정,"처음엔 치료 받으면 낫겠지 생각했는데, 낫지도 않고 계속 병원을 다니니까 너무 걱정되요.",당연히 걱정이 되는 상황인 것 같아요. 저도 마음이 아프네요.,
감정/걱정,수술한다는 말에 얼마나 걱정이 되던지…,모든 문제는 해결되기 마련이잖아요. 마음을 편히 드세요.,
감정/걱정,다행히 수술은 잘 됐다고 해서 다행이야. ,,
감정/걱정,솔직히 좀 걱정돼. ,,
감정/걱정,"그때 든 생각은 이거 진짜 큰일 났구나, 그거밖에 없었어요.",,
감정/걱정,근데 거기 다니는 애들이 저를 어떻게 생각할지 너무 걱정이 되더라고요.  ,,
감정/걱정,"아무리 고민을 해도 당장 결론이 나는 게 아닌데, 누워서 그 고민만 하다가 시간을 다 보내는 거야.",,
감정/걱정,몸이 바쁘지 않으니까 생각이 많아져. ,,
감정/걱정,그래서 혹시나 불미스러운 일이 있으면 어쩌나… 걱정이 돼.,,
감정/걱정,솔직히 사무실에 딱 두 명이서 일하는데… 걱정하는 것도 오버는 아니잖아.,,
감정/걱정,나 정말 어떻게 해야 할까?? ,,
감정/걱정,어떻게 해야 할까??,,
감정/걱정,계속 이럴까 봐 너무 걱정돼.,,
감정/걱정,나중에 엄마가 알게 될 텐데 어떡하지. 생각이 들면서도 발은 안 떨어져요.,,
감정/걱정,신입생 애들이랑 나이차이가 좀 나서 적응할 수 있을지 걱정이 되더라.,,
감정/걱정,뭔가 내 몸에 이상이 생긴 건가 싶었어요. 병원에 가야 하나…,,
감정/걱정,여행 마치고 집에 왔을 때도 또 그런 증상이 생길까봐 걱정이 됐어요.,,
감정/걱정,근데 한편으론 내가 왜 이러나 걱정이 되기도 해요.,,
감정/걱정,인사했는데 상대방이 안 받아주면 어떡하지? 어색하고 그럴까봐 먼저 인사를 못하겠어요.,,
감정/걱정,"이대로 살아야 싶기도 하고, 아이를 가져도 독박육아는 이미 정해진 것 같은데… 할 수 있을까 걱정도 되고…",,
감정/걱정,그래서 몸에 문제가 있나 싶어서 병원을 가보려고 했다?,,
감정/걱정,그래서 가볼까 생각중이긴 한데 또 걱정이야.,,
감정/걱정,일은 없는데… 그냥 쓸데없는 걱정? 그런 게 좀 많아요.,,
감정/걱정,그럼 또 나는 엄청 걱정이 되는 거야.,,
감정/걱정,혹시 누가 들었을까 봐 조마조마할 때도 있어.,,
감정/걱정,혹시 더 큰 문제가 있는 건 아닐까?,,
감정/걱정,시간도 많이 걸리고… 또 틀릴까 봐 걱정스러운 마음도 계속 들고.,,
감정/걱정,부부 사이가 혹여나 멀어지진 않을까 걱정도 돼요.,,
감정/걱정,너무 걱정스러워요.,,
감정/걱정,어떡하죠?,,
감정/걱정,걱정이 이만저만이 아니야.,,
감정/걱정,나쁜 성분 같은 게 있으면 어떻게 해.,,
감정/걱정,뭐 큰일 있진 않겠지?,,
감정/걱정,정말 내가 왜 이러는 걸까?,,
감정/걱정,저는 어떡하면 좋죠?,,
감정/걱정,걱정스럽네요.,,
감정/걱정,차라리 화를 내는 게 나으니까 너무 걱정 많이 하지 말라고 그러더라.,,
감정/걱정,내가 요즘 그렇게 걱정을 많이 했나?,,
감정/걱정,어떡하면 좋지…,,
감정/걱정,아니라고 말해줘.,,
감정/걱정,이제 어떻게 해야 하나…걱정이야.,,
감정/걱정,살 날이 걱정입니다.,,
감정/걱정,속은 시원한데…앞으로가 걱정이야.,,
감정/걱정,내가 일을 할 수 있는 상황도 아니라..하루하루가 걱정이더라고..,,
감정/걱정,그렇다고 일을 안할수도 없는데..걱정이 이만 저만이 아니야.,,
감정/걱정,계속 이렇게 살 수는 없는데 어쩌면 좋을까?,,
감정/걱정,계속 먹어도 되는 건지 모르겠어.,,
감정/걱정,내가 유별난걸 아는데..걱정을 멈추는게 내맘대로 안돼.,,
감정/걱정,근데 문제는 이게 계속 걱정된다는 거예요.,,
감정/걱정,그게 깔끔하게 잘 제거 됐다는 걸 아는데도 그냥 걱정이 돼요.,,
감정/걱정,예를 들어 분명 돈이 있는데도 나중에 돈이 없으면 어떡하지 이래요.,,
감정/걱정,밥 잘 먹고 있다가도 이게 상한 거면 어떡하지 이런 걱정도 하구요.,,
감정/걱정,그냥 되게 자잘하게 걱정이 많아.,,
감정/걱정,다른 때는 그래도 괜찮은데 수업할 때도 이럴까봐 너무 걱정이야.,,
감정/걱정,내가 확인하지 못 한 게 있는 건 아닐까 걱정돼서요.,,
감정/걱정,이런 걱정이 엄청 드는 거야. 아무래도 이걸 평생 하진 않을 것 같단 말이야.,,
감정/걱정,근데 요즘엔 별의 별 걱정이 다 드는 거야.,,
감정/걱정,이게 커가면서는 좀 덜해졌는데 요즘 들어 문득 계속 걱정이 돼.,,
감정/걱정,"잘 지켰나, 잘 안 지킨 건가 싶어서 너무 걱정이 되거든.",,
감정/걱정,내가 평소에도 걱정이 좀 많거든.,,
감정/걱정,막 집에 있을 때도 갑자기 집이 무너지면 어떡하지 싶어.,,
감정/걱정,그렇다고 해서 일도 못 하고 그러는 건 아닌데 그래도 잔 걱정이 좀 많아.,,
감정/걱정,어떻게 하면 좋을까… 싶어서 걱정이 되게 많아요.,,
감정/걱정,요즘 이거 때문에 잠도 안 오고 진짜 걱정돼서 미치겠다.,,
감정/걱정,"또 실수하지는 않았을까, 걱정이 들어요.",,
감정/걱정,아침에 눈뜨면 오늘은 뭘 해야 할지 걱정부터 들어요.,,
감정/걱정,성격이 불같아서 걱정이에요.,,
감정/걱정,다른 때는 그래도 괜찮은데 수업할 때도 이럴까봐 너무 걱정이야.,,
감정/걱정,요즘 들어 내가 그런 거 아닌 건가 싶어서 걱정 된다니까.,,
감정/걱정,그래서 더 걱정되는 것 같기도 해요.,,
감정/걱정,진짜 걱정이 이만저만이 아니다…,,
감정/걱정,안 해도 되는 걱정을 굳이 사서 하는 편이라 더 그랬어요.,,
감정/걱정,근데 이거 때문에 좀 걱정이 많아요.,,
감정/걱정,딱히 스트레스 받는 건 없었는데 진짜 그런 문제였던 건가 싶어서 걱정돼.,,
감정/걱정,앞으로 나는 뭘 해 먹고 사나 같은 이런저런 걱정이 들고…,,
감정/걱정,"앞으로 난 뭘 해야 할까, 내가 뭘 잘 하긴 하는 걸까 걱정이 많았거든요.",,
감정/걱정,무슨 문제가 있는 건 아닐까 싶어서 걱정이 돼요.,,
감정/걱정/건강문제,평생 이렇게 살아야할까봐 걱정이야.,건강 때문에 걱정이 많으시군요. 잘 관리하고 계시다면 큰 문제는 없을 거예요.,
감정/걱정/건강문제,나도 혈압이 높은 편인데… 요즘 몸도 안 좋고 해서 자꾸 걱정이 되네..,너무 걱정하지 마세요. 현대의학을 믿자구요.,
감정/걱정/건강문제,나도 이러기 싫은데 자꾸 건강을 걱정하게 돼. ,걱정이 없던 병도 만들 수 있어요. 머리를 비울 수 있게 영화를 한 편 보는 건 어때요?,
감정/걱정/건강문제,근데 아무리 생각해도 문제가 없을 것 같지 않은 거예요.,,
감정/걱정/건강문제,내내 이렇게 누워서 환자 생활만 하면 어떡하죠?,,
감정/걱정/건강문제,호르몬에 문제가 있어서 이런걸 까봐 너무 걱정이 돼.,,
감정/걱정/건강문제,병원에 갔더니 별 이상은 없다고 하는데… 그래도 계속 걱정이 되네요.,,
감정/걱정/건강문제,무슨 큰 병이라도 걸린게 아닐까 너무 걱정 되네요.,,
감정/걱정/건강문제,병원에 가면 치료 의지가 생기는데 집에만 오면 다시 걱정을 해요.,,
